Time,Steering,SignalStatus
2025-06-02T16:19:29.803107,-0.2924578078091145,No Signal
2025-06-02T16:19:29.850700,-0.2924578078091145,No Signal
2025-06-02T16:19:29.898779,-0.2924578078091145,No Signal
2025-06-02T16:19:29.945637,-0.2924578078091145,No Signal
2025-06-02T16:19:29.978743,-0.2924578078091145,No Signal
2025-06-02T16:19:30.023810,-0.2924578078091145,No Signal
2025-06-02T16:19:30.069389,-0.2924578078091145,No Signal
2025-06-02T16:19:30.115952,-0.2924578078091145,No Signal
2025-06-02T16:19:30.163002,-0.2924578078091145,No Signal
2025-06-02T16:19:30.209895,-0.2924578078091145,No Signal
2025-06-02T16:19:30.256690,-0.2924578078091145,No Signal
2025-06-02T16:19:30.303965,-0.2924578078091145,No Signal
2025-06-02T16:19:30.366307,-0.2924578078091145,No Signal
2025-06-02T16:19:30.413871,-0.2924578078091145,No Signal
2025-06-02T16:19:30.460681,-0.2924578078091145,No Signal
2025-06-02T16:19:30.508715,-0.2924578078091145,No Signal
2025-06-02T16:19:30.546466,-0.2924578078091145,No Signal
2025-06-02T16:19:30.585304,-0.2924578078091145,No Signal
2025-06-02T16:19:30.632809,-0.2924578078091145,No Signal
2025-06-02T16:19:30.678969,-0.2924578078091145,No Signal
2025-06-02T16:19:30.725541,-0.2924578078091145,No Signal
2025-06-02T16:19:30.771664,-0.2924578078091145,No Signal
2025-06-02T16:19:30.817870,-0.2924578078091145,No Signal
2025-06-02T16:19:30.855943,-0.2924578078091145,No Signal
2025-06-02T16:19:30.894775,-0.2924578078091145,No Signal
2025-06-02T16:19:30.942093,-0.2924578078091145,No Signal
2025-06-02T16:19:30.989156,-0.2924578078091145,No Signal
2025-06-02T16:19:31.035592,-0.2924578078091145,No Signal
2025-06-02T16:19:31.097944,-0.2924578078091145,No Signal
2025-06-02T16:19:31.146129,-0.2924578078091145,No Signal
2025-06-02T16:19:31.192750,-0.2924578078091145,No Signal
2025-06-02T16:19:31.238832,-0.2924578078091145,No Signal
2025-06-02T16:19:31.286803,-0.2924578078091145,No Signal
2025-06-02T16:19:31.335442,-0.2924578078091145,No Signal
2025-06-02T16:19:31.380731,-0.2924578078091145,No Signal
2025-06-02T16:19:31.428571,-0.2924578078091145,No Signal
2025-06-02T16:19:31.481232,-0.2924578078091145,No Signal
2025-06-02T16:19:31.521223,-0.2924578078091145,No Signal
2025-06-02T16:19:31.567141,-0.2924578078091145,No Signal
2025-06-02T16:19:31.613980,-0.2924578078091145,No Signal
2025-06-02T16:19:31.660428,-0.2924578078091145,No Signal
2025-06-02T16:19:31.707995,-0.2924578078091145,No Signal
2025-06-02T16:19:31.755682,-0.2924578078091145,No Signal
2025-06-02T16:19:31.802955,-0.2924578078091145,No Signal
2025-06-02T16:19:31.849554,-0.2924578078091145,No Signal
2025-06-02T16:19:31.911284,-0.2924578078091145,No Signal
2025-06-02T16:19:31.958884,-0.2924578078091145,No Signal
2025-06-02T16:19:32.006434,-0.2924578078091145,No Signal
2025-06-02T16:19:32.053981,-0.2924578078091145,No Signal
2025-06-02T16:19:32.099685,-0.2924578078091145,No Signal
2025-06-02T16:19:32.147227,-0.2924578078091145,No Signal
2025-06-02T16:19:32.193779,-0.2924578078091145,No Signal
2025-06-02T16:19:32.240102,-0.2924578078091145,No Signal
2025-06-02T16:19:32.287750,-0.2924578078091145,No Signal
2025-06-02T16:19:32.334857,-0.2924578078091145,No Signal
2025-06-02T16:19:32.377928,-0.2924578078091145,No Signal
2025-06-02T16:19:32.412782,-0.2924578078091145,No Signal
2025-06-02T16:19:32.459593,-0.2924578078091145,No Signal
2025-06-02T16:19:32.504749,-0.2924578078091145,No Signal
2025-06-02T16:19:32.552938,-0.2924578078091145,No Signal
2025-06-02T16:19:32.599465,-0.2924578078091145,No Signal
2025-06-02T16:19:32.645899,-0.2924578078091145,No Signal
2025-06-02T16:19:32.692664,-0.2924578078091145,No Signal
